Dz,Dx,method
0.01,0.0036325785,random-direction
0.01,0.003173282,random-direction
0.01,0.006207386,random-direction
0.01,0.00285177,random-direction
0.01,0.004199554,random-direction
0.01,0.004253111,random-direction
0.01,0.0035879004,random-direction
0.01,0.0038874466,random-direction
0.01,0.0042438926,random-direction
0.01,0.0027325798,random-direction
0.01,0.004592375,random-direction
0.01,0.0034238757,random-direction
0.01,0.0036828306,random-direction
0.01,0.0046763076,random-direction
0.01,0.004931057,random-direction
0.01,0.004209638,random-direction
0.01,0.003171655,random-direction
0.01,0.00802962,random-direction
0.01,0.0040092184,random-direction
0.01,0.0026550412,random-direction
0.01,0.00454839,random-direction
0.01,0.004226339,random-direction
0.01,0.002453535,random-direction
0.01,0.0048744446,random-direction
0.01,0.0033158888,random-direction
0.01,0.0034123894,random-direction
0.01,0.00448176,random-direction
0.01,0.003371661,random-direction
0.01,0.005040479,random-direction
0.01,0.0042758654,random-direction
0.01,0.0034257253,random-direction
0.01,0.0037262272,random-direction
0.01,0.0048438436,random-direction
0.01,0.003547993,random-direction
0.01,0.0035822664,random-direction
0.01,0.004234747,random-direction
0.01,0.0027036453,random-direction
0.01,0.0048409337,random-direction
0.01,0.0052981684,random-direction
0.01,0.006211266,random-direction
0.01,0.0028160072,random-direction
0.01,0.0037319236,random-direction
0.01,0.0041329227,random-direction
0.01,0.0033484057,random-direction
0.01,0.005121406,random-direction
0.01,0.004808469,random-direction
0.01,0.0029274109,random-direction
0.01,0.002735042,random-direction
0.01,0.0040629404,random-direction
0.01,0.0029069663,random-direction
0.01,0.0027762267,random-direction
0.01,0.003547845,random-direction
0.01,0.004120165,random-direction
0.01,0.0034479268,random-direction
0.01,0.0034585297,random-direction
0.01,0.004608701,random-direction
0.01,0.003389302,random-direction
0.01,0.004412964,random-direction
0.01,0.0034489925,random-direction
0.01,0.0046693794,random-direction
0.01,0.0034934538,random-direction
0.01,0.0036054463,random-direction
0.01,0.0053605232,random-direction
0.01,0.002660039,random-direction
0.01,0.00359436,random-direction
0.01,0.004588959,random-direction
0.01,0.0043769414,random-direction
0.01,0.003667045,random-direction
0.01,0.0035172317,random-direction
0.01,0.0030420048,random-direction
0.01,0.0077653886,random-direction
0.01,0.0035176366,random-direction
0.01,0.0021588611,random-direction
0.01,0.004760273,random-direction
0.01,0.006641496,random-direction
0.01,0.0036095157,random-direction
0.01,0.0044459878,random-direction
0.01,0.005356063,random-direction
0.01,0.0050762584,random-direction
0.01,0.0040278765,random-direction
0.01,0.0025989795,random-direction
0.01,0.0036601536,random-direction
0.01,0.0033057418,random-direction
0.01,0.0034657358,random-direction
0.01,0.0043948805,random-direction
0.01,0.0035420645,random-direction
0.01,0.0036762122,random-direction
0.01,0.0045802454,random-direction
0.01,0.003295017,random-direction
0.01,0.004282712,random-direction
0.01,0.004699058,random-direction
0.01,0.004767093,random-direction
0.01,0.0049480926,random-direction
0.01,0.0049538193,random-direction
0.01,0.0033554672,random-direction
0.01,0.0035467371,random-direction
0.01,0.0040298416,random-direction
0.01,0.0055314554,random-direction
0.01,0.0036303836,random-direction
0.01,0.005109479,random-direction
0.01,0.0055558244,random-direction
0.01,0.003538785,random-direction
0.01,0.0027853784,random-direction
0.01,0.0037488532,random-direction
0.01,0.0039061974,random-direction
0.01,0.0044533843,random-direction
0.01,0.0050170487,random-direction
0.01,0.0033716194,random-direction
0.01,0.0036809507,random-direction
0.01,0.0045471448,random-direction
0.01,0.0032731097,random-direction
0.01,0.0038962308,random-direction
0.01,0.004491253,random-direction
0.01,0.003989345,random-direction
0.01,0.0037269183,random-direction
0.01,0.0042640823,random-direction
0.01,0.0031429734,random-direction
0.01,0.0030810847,random-direction
0.01,0.0031297128,random-direction
0.01,0.0040901722,random-direction
0.05,0.026557978,random-direction
0.05,0.0210561,random-direction
0.05,0.023025583,random-direction
0.05,0.019288298,random-direction
0.05,0.01929434,random-direction
0.05,0.015528994,random-direction
0.05,0.023196962,random-direction
0.05,0.015679099,random-direction
0.05,0.024903957,random-direction
0.05,0.017484875,random-direction
0.05,0.022334278,random-direction
0.05,0.015696332,random-direction
0.05,0.013259886,random-direction
0.05,0.026291877,random-direction
0.05,0.017840061,random-direction
0.05,0.019293115,random-direction
0.05,0.02888764,random-direction
0.05,0.027167264,random-direction
0.05,0.02347508,random-direction
0.05,0.01427563,random-direction
0.05,0.0100610405,random-direction
0.05,0.02387267,random-direction
0.05,0.018701732,random-direction
0.05,0.019294083,random-direction
0.05,0.02602772,random-direction
0.05,0.01892754,random-direction
0.05,0.0244326,random-direction
0.05,0.021870486,random-direction
0.05,0.021787232,random-direction
0.05,0.018769752,random-direction
0.05,0.02065539,random-direction
0.05,0.01682591,random-direction
0.05,0.017357029,random-direction
0.05,0.016603326,random-direction
0.05,0.01745106,random-direction
0.05,0.018038686,random-direction
0.05,0.017745374,random-direction
0.05,0.018566985,random-direction
0.05,0.029459601,random-direction
0.05,0.027400713,random-direction
0.05,0.01964869,random-direction
0.05,0.015875297,random-direction
0.05,0.029020224,random-direction
0.05,0.020340875,random-direction
0.05,0.018560294,random-direction
0.05,0.02479906,random-direction
0.05,0.015586488,random-direction
0.05,0.018969882,random-direction
0.05,0.034646887,random-direction
0.05,0.01832903,random-direction
0.05,0.020016275,random-direction
0.05,0.023013374,random-direction
0.05,0.02484905,random-direction
0.05,0.01635158,random-direction
0.05,0.019139605,random-direction
0.05,0.015501825,random-direction
0.05,0.012767149,random-direction
0.05,0.016890055,random-direction
0.05,0.021820977,random-direction
0.05,0.016334346,random-direction
0.05,0.012625232,random-direction
0.05,0.015982311,random-direction
0.05,0.016830036,random-direction
0.05,0.018148012,random-direction
0.05,0.026028076,random-direction
0.05,0.017701264,random-direction
0.05,0.014735942,random-direction
0.05,0.019560084,random-direction
0.05,0.021625321,random-direction
0.05,0.015880255,random-direction
0.05,0.01852265,random-direction
0.05,0.027033601,random-direction
0.05,0.01983763,random-direction
0.05,0.021491807,random-direction
0.05,0.01789867,random-direction
0.05,0.018999299,random-direction
0.05,0.0217367,random-direction
0.05,0.023045005,random-direction
0.05,0.01562079,random-direction
0.05,0.017486269,random-direction
0.05,0.016804256,random-direction
0.05,0.017788704,random-direction
0.05,0.017678186,random-direction
0.05,0.021080455,random-direction
0.05,0.01767601,random-direction
0.05,0.019642238,random-direction
0.05,0.0143142985,random-direction
0.05,0.018654613,random-direction
0.05,0.020002928,random-direction
0.05,0.023812704,random-direction
0.05,0.047335476,random-direction
0.05,0.015056813,random-direction
0.05,0.02158034,random-direction
0.05,0.020419028,random-direction
0.05,0.017258866,random-direction
0.05,0.01774804,random-direction
0.05,0.020710342,random-direction
0.05,0.011294641,random-direction
0.05,0.01863151,random-direction
0.05,0.025256004,random-direction
0.05,0.01485606,random-direction
0.05,0.020279111,random-direction
0.05,0.020060841,random-direction
0.05,0.022967096,random-direction
0.05,0.022975516,random-direction
0.05,0.03555389,random-direction
0.05,0.024819732,random-direction
0.05,0.020823024,random-direction
0.05,0.027109567,random-direction
0.05,0.017515538,random-direction
0.05,0.025455829,random-direction
0.05,0.019738156,random-direction
0.05,0.014609469,random-direction
0.05,0.019923758,random-direction
0.05,0.02733562,random-direction
0.05,0.021552201,random-direction
0.05,0.021215787,random-direction
0.05,0.022643052,random-direction
0.05,0.016935633,random-direction
0.05,0.024293145,random-direction
0.09,0.044820108,random-direction
0.09,0.028318305,random-direction
0.09,0.06519817,random-direction
0.09,0.031782005,random-direction
0.09,0.061287977,random-direction
0.09,0.034957558,random-direction
0.09,0.032484382,random-direction
0.09,0.030123334,random-direction
0.09,0.037759244,random-direction
0.09,0.03443812,random-direction
0.09,0.03751705,random-direction
0.09,0.03602227,random-direction
0.09,0.039906822,random-direction
0.09,0.04123694,random-direction
0.09,0.0345538,random-direction
0.09,0.046474494,random-direction
0.09,0.032150947,random-direction
0.09,0.02667189,random-direction
0.09,0.04632351,random-direction
0.09,0.035762563,random-direction
0.09,0.048377655,random-direction
0.09,0.043758105,random-direction
0.09,0.04216215,random-direction
0.09,0.029375095,random-direction
0.09,0.035114534,random-direction
0.09,0.028888002,random-direction
0.09,0.020985875,random-direction
0.09,0.028360317,random-direction
0.09,0.038400088,random-direction
0.09,0.027098322,random-direction
0.09,0.03410789,random-direction
0.09,0.037959944,random-direction
0.09,0.033476,random-direction
0.09,0.047330946,random-direction
0.09,0.03472723,random-direction
0.09,0.031758092,random-direction
0.09,0.04075546,random-direction
0.09,0.032410346,random-direction
0.09,0.029954175,random-direction
0.09,0.034392018,random-direction
0.09,0.031976365,random-direction
0.09,0.04302341,random-direction
0.09,0.034170024,random-direction
0.09,0.03715353,random-direction
0.09,0.028117716,random-direction
0.09,0.054344434,random-direction
0.09,0.017383177,random-direction
0.09,0.034581453,random-direction
0.09,0.055110652,random-direction
0.09,0.051587194,random-direction
0.09,0.046946406,random-direction
0.09,0.027112821,random-direction
0.09,0.04222292,random-direction
0.09,0.032135315,random-direction
0.09,0.025274742,random-direction
0.09,0.03177934,random-direction
0.09,0.03362403,random-direction
0.09,0.0449074,random-direction
0.09,0.055339206,random-direction
0.09,0.032325998,random-direction
0.09,0.03654475,random-direction
0.09,0.06969121,random-direction
0.09,0.048945148,random-direction
0.09,0.036628034,random-direction
0.09,0.030012304,random-direction
0.09,0.025491655,random-direction
0.09,0.039348323,random-direction
0.09,0.03440297,random-direction
0.09,0.035711605,random-direction
0.09,0.030698314,random-direction
0.09,0.049675412,random-direction
0.09,0.037008274,random-direction
0.09,0.033047725,random-direction
0.09,0.04208041,random-direction
0.09,0.034447435,random-direction
0.09,0.027879465,random-direction
0.09,0.034220546,random-direction
0.09,0.028437551,random-direction
0.09,0.03530475,random-direction
0.09,0.042190794,random-direction
0.09,0.03683115,random-direction
0.09,0.02749991,random-direction
0.09,0.05073729,random-direction
0.09,0.04048851,random-direction
0.09,0.043865416,random-direction
0.09,0.029938508,random-direction
0.09,0.032811802,random-direction
0.09,0.029749101,random-direction
0.09,0.023416651,random-direction
0.09,0.037563063,random-direction
0.09,0.024379607,random-direction
0.09,0.032992337,random-direction
0.09,0.03562891,random-direction
0.09,0.035892762,random-direction
0.09,0.041440748,random-direction
0.09,0.03784091,random-direction
0.09,0.0492537,random-direction
0.09,0.04145165,random-direction
0.09,0.039417557,random-direction
0.09,0.032749303,random-direction
0.09,0.040647116,random-direction
0.09,0.04839287,random-direction
0.09,0.036385052,random-direction
0.09,0.030337539,random-direction
0.09,0.040769618,random-direction
0.09,0.04726524,random-direction
0.09,0.03709052,random-direction
0.09,0.03490943,random-direction
0.09,0.02979138,random-direction
0.09,0.0440256,random-direction
0.09,0.034731343,random-direction
0.09,0.035029422,random-direction
0.09,0.031505205,random-direction
0.09,0.03212373,random-direction
0.09,0.05189263,random-direction
0.09,0.050072324,random-direction
0.09,0.027441666,random-direction
0.09,0.024246871,random-direction
0.09,0.04515097,random-direction
0.09,0.03882287,random-direction
0.13,0.05985268,random-direction
0.13,0.03635185,random-direction
0.13,0.060767185,random-direction
0.13,0.049074404,random-direction
0.13,0.0656235,random-direction
0.13,0.05316285,random-direction
0.13,0.06422459,random-direction
0.13,0.03370997,random-direction
0.13,0.047176458,random-direction
0.13,0.057161815,random-direction
0.13,0.068794735,random-direction
0.13,0.054195672,random-direction
0.13,0.048444755,random-direction
0.13,0.051603824,random-direction
0.13,0.05794674,random-direction
0.13,0.056278497,random-direction
0.13,0.0475831,random-direction
0.13,0.06578933,random-direction
0.13,0.059557926,random-direction
0.13,0.040244598,random-direction
0.13,0.04819303,random-direction
0.13,0.0455701,random-direction
0.13,0.047109254,random-direction
0.13,0.038917042,random-direction
0.13,0.04456953,random-direction
0.13,0.046831496,random-direction
0.13,0.05760931,random-direction
0.13,0.034163658,random-direction
0.13,0.061799727,random-direction
0.13,0.043294795,random-direction
0.13,0.07729324,random-direction
0.13,0.06367631,random-direction
0.13,0.05004566,random-direction
0.13,0.05011469,random-direction
0.13,0.07042897,random-direction
0.13,0.030222574,random-direction
0.13,0.05996908,random-direction
0.13,0.04943837,random-direction
0.13,0.043805797,random-direction
0.13,0.05329738,random-direction
0.13,0.053700246,random-direction
0.13,0.05209803,random-direction
0.13,0.09143384,random-direction
0.13,0.04818967,random-direction
0.13,0.04680612,random-direction
0.13,0.045006562,random-direction
0.13,0.08645251,random-direction
0.13,0.06284519,random-direction
0.13,0.040612362,random-direction
0.13,0.046623066,random-direction
0.13,0.05281641,random-direction
0.13,0.052045353,random-direction
0.13,0.05164523,random-direction
0.13,0.05612483,random-direction
0.13,0.039371844,random-direction
0.13,0.053054046,random-direction
0.13,0.05863952,random-direction
0.13,0.043305047,random-direction
0.13,0.06865494,random-direction
0.13,0.046673205,random-direction
0.13,0.043212213,random-direction
0.13,0.058304302,random-direction
0.13,0.09570953,random-direction
0.13,0.049815226,random-direction
0.13,0.043677516,random-direction
0.13,0.06806073,random-direction
0.13,0.052340917,random-direction
0.13,0.049352307,random-direction
0.13,0.06634113,random-direction
0.13,0.056381565,random-direction
0.13,0.100151636,random-direction
0.13,0.05636239,random-direction
0.13,0.043039583,random-direction
0.13,0.05368684,random-direction
0.13,0.057622217,random-direction
0.13,0.0409582,random-direction
0.13,0.045283504,random-direction
0.13,0.07298869,random-direction
0.13,0.03865992,random-direction
0.13,0.052953172,random-direction
0.13,0.057147093,random-direction
0.13,0.04517565,random-direction
0.13,0.047610704,random-direction
0.13,0.03634449,random-direction
0.13,0.038793545,random-direction
0.13,0.066395305,random-direction
0.13,0.04631081,random-direction
0.13,0.048291508,random-direction
0.13,0.05504617,random-direction
0.13,0.04561718,random-direction
0.13,0.052468073,random-direction
0.13,0.069605194,random-direction
0.13,0.05224017,random-direction
0.13,0.061223246,random-direction
0.13,0.055366598,random-direction
0.13,0.04940625,random-direction
0.13,0.04475727,random-direction
0.13,0.051426828,random-direction
0.13,0.05252493,random-direction
0.13,0.06251442,random-direction
0.13,0.049769845,random-direction
0.13,0.050638773,random-direction
0.13,0.06746782,random-direction
0.13,0.0418918,random-direction
0.13,0.061510902,random-direction
0.13,0.045449965,random-direction
0.13,0.024124209,random-direction
0.13,0.07254648,random-direction
0.13,0.056744624,random-direction
0.13,0.039537247,random-direction
0.13,0.048139393,random-direction
0.13,0.065809704,random-direction
0.13,0.06552846,random-direction
0.13,0.07115192,random-direction
0.13,0.042194985,random-direction
0.13,0.053764958,random-direction
0.13,0.04605083,random-direction
0.13,0.043550212,random-direction
0.13,0.063660756,random-direction
0.13,0.057764966,random-direction
0.18,0.077484384,random-direction
0.18,0.1302223,random-direction
0.18,0.08911541,random-direction
0.18,0.06940218,random-direction
0.18,0.07770759,random-direction
0.18,0.10838236,random-direction
0.18,0.057292927,random-direction
0.18,0.057689108,random-direction
0.18,0.04598713,random-direction
0.18,0.07028419,random-direction
0.18,0.06609117,random-direction
0.18,0.099767976,random-direction
0.18,0.059389956,random-direction
0.18,0.1378403,random-direction
0.18,0.0716968,random-direction
0.18,0.0699936,random-direction
0.18,0.04151406,random-direction
0.18,0.06599179,random-direction
0.18,0.0527969,random-direction
0.18,0.060895883,random-direction
0.18,0.071491405,random-direction
0.18,0.08900274,random-direction
0.18,0.059379935,random-direction
0.18,0.079776615,random-direction
0.18,0.07387547,random-direction
0.18,0.08322651,random-direction
0.18,0.066063836,random-direction
0.18,0.07759495,random-direction
0.18,0.056780793,random-direction
0.18,0.055623434,random-direction
0.18,0.06945753,random-direction
0.18,0.07683346,random-direction
0.18,0.06685267,random-direction
0.18,0.05951632,random-direction
0.18,0.05609078,random-direction
0.18,0.06811181,random-direction
0.18,0.05180961,random-direction
0.18,0.07976334,random-direction
0.18,0.06313228,random-direction
0.18,0.072768286,random-direction
0.18,0.04439456,random-direction
0.18,0.090683684,random-direction
0.18,0.05056739,random-direction
0.18,0.09550348,random-direction
0.18,0.079819925,random-direction
0.18,0.05521227,random-direction
0.18,0.06975467,random-direction
0.18,0.06397413,random-direction
0.18,0.07107466,random-direction
0.18,0.06806041,random-direction
0.18,0.06751333,random-direction
0.18,0.06310531,random-direction
0.18,0.08803844,random-direction
0.18,0.05825288,random-direction
0.18,0.036175974,random-direction
0.18,0.058447175,random-direction
0.18,0.059485536,random-direction
0.18,0.06370941,random-direction
0.18,0.07741158,random-direction
0.18,0.07813837,random-direction
0.18,0.078575216,random-direction
0.18,0.07671584,random-direction
0.18,0.06146928,random-direction
0.18,0.06639219,random-direction
0.18,0.06507444,random-direction
0.18,0.05350876,random-direction
0.18,0.097533755,random-direction
0.18,0.081188284,random-direction
0.18,0.059685476,random-direction
0.18,0.057430148,random-direction
0.18,0.09072049,random-direction
0.18,0.059317064,random-direction
0.18,0.07429582,random-direction
0.18,0.06306246,random-direction
0.18,0.06639005,random-direction
0.18,0.058849473,random-direction
0.18,0.048883848,random-direction
0.18,0.070874326,random-direction
0.18,0.08460946,random-direction
0.18,0.058561496,random-direction
0.18,0.07147744,random-direction
0.18,0.05344822,random-direction
0.18,0.05251814,random-direction
0.18,0.085162975,random-direction
0.18,0.08564771,random-direction
0.18,0.072079286,random-direction
0.18,0.07031324,random-direction
0.18,0.060954284,random-direction
0.18,0.11716187,random-direction
0.18,0.06109367,random-direction
0.18,0.08225979,random-direction
0.18,0.059268653,random-direction
0.18,0.057548843,random-direction
0.18,0.06969613,random-direction
0.18,0.05530109,random-direction
0.18,0.08351543,random-direction
0.18,0.07999334,random-direction
0.18,0.07655342,random-direction
0.18,0.087958194,random-direction
0.18,0.07104724,random-direction
0.18,0.081071876,random-direction
0.18,0.06041286,random-direction
0.18,0.07588994,random-direction
0.18,0.057394456,random-direction
0.18,0.065797724,random-direction
0.18,0.051195018,random-direction
0.18,0.05745197,random-direction
0.18,0.048981648,random-direction
0.18,0.086282596,random-direction
0.18,0.07718538,random-direction
0.18,0.07704762,random-direction
0.18,0.055528305,random-direction
0.18,0.065398894,random-direction
0.18,0.073347606,random-direction
0.18,0.046862245,random-direction
0.18,0.08417772,random-direction
0.18,0.061071694,random-direction
0.18,0.078114815,random-direction
0.18,0.047817074,random-direction
0.18,0.08206078,random-direction
0.22,0.089202225,random-direction
0.22,0.09520084,random-direction
0.22,0.076476425,random-direction
0.22,0.1142326,random-direction
0.22,0.11175325,random-direction
0.22,0.05842607,random-direction
0.22,0.09180792,random-direction
0.22,0.06634,random-direction
0.22,0.11369647,random-direction
0.22,0.07738589,random-direction
0.22,0.073204234,random-direction
0.22,0.07738634,random-direction
0.22,0.092857495,random-direction
0.22,0.058728725,random-direction
0.22,0.17528549,random-direction
0.22,0.08609694,random-direction
0.22,0.062382568,random-direction
0.22,0.09270606,random-direction
0.22,0.15647715,random-direction
0.22,0.076222315,random-direction
0.22,0.099344596,random-direction
0.22,0.07175338,random-direction
0.22,0.05029785,random-direction
0.22,0.078106545,random-direction
0.22,0.112628266,random-direction
0.22,0.09738823,random-direction
0.22,0.08223932,random-direction
0.22,0.1125052,random-direction
0.22,0.07053746,random-direction
0.22,0.08387221,random-direction
0.22,0.10706075,random-direction
0.22,0.09435834,random-direction
0.22,0.11356642,random-direction
0.22,0.077792324,random-direction
0.22,0.07111965,random-direction
0.22,0.06675868,random-direction
0.22,0.09034715,random-direction
0.22,0.10570612,random-direction
0.22,0.10346413,random-direction
0.22,0.13512176,random-direction
0.22,0.074193284,random-direction
0.22,0.07696374,random-direction
0.22,0.08514948,random-direction
0.22,0.09641819,random-direction
0.22,0.103356265,random-direction
0.22,0.07521712,random-direction
0.22,0.0594288,random-direction
0.22,0.066843405,random-direction
0.22,0.08448627,random-direction
0.22,0.07805488,random-direction
0.22,0.082803324,random-direction
0.22,0.12846294,random-direction
0.22,0.07004447,random-direction
0.22,0.108971976,random-direction
0.22,0.06566073,random-direction
0.22,0.091858104,random-direction
0.22,0.10243206,random-direction
0.22,0.08359298,random-direction
0.22,0.07721316,random-direction
0.22,0.08524568,random-direction
0.22,0.0848904,random-direction
0.22,0.07763778,random-direction
0.22,0.064305365,random-direction
0.22,0.057659768,random-direction
0.22,0.07096943,random-direction
0.22,0.080628686,random-direction
0.22,0.09638916,random-direction
0.22,0.10409548,random-direction
0.22,0.078103825,random-direction
0.22,0.07929481,random-direction
0.22,0.07497421,random-direction
0.22,0.08267844,random-direction
0.22,0.059078813,random-direction
0.22,0.067467876,random-direction
0.22,0.07565576,random-direction
0.22,0.09248756,random-direction
0.22,0.082533464,random-direction
0.22,0.061964534,random-direction
0.22,0.108414546,random-direction
0.22,0.10831491,random-direction
0.22,0.118967555,random-direction
0.22,0.079509355,random-direction
0.22,0.08231242,random-direction
0.22,0.080515936,random-direction
0.22,0.07992122,random-direction
0.22,0.05211556,random-direction
0.22,0.08837816,random-direction
0.22,0.08083042,random-direction
0.22,0.117822565,random-direction
0.22,0.08336272,random-direction
0.22,0.098507576,random-direction
0.22,0.10640389,random-direction
0.22,0.108069755,random-direction
0.22,0.104383096,random-direction
0.22,0.08312015,random-direction
0.22,0.09015569,random-direction
0.22,0.043028273,random-direction
0.22,0.07570605,random-direction
0.22,0.11236362,random-direction
0.22,0.12224647,random-direction
0.22,0.08593936,random-direction
0.22,0.06630473,random-direction
0.22,0.061063297,random-direction
0.22,0.08581144,random-direction
0.22,0.08907013,random-direction
0.22,0.088477105,random-direction
0.22,0.074271575,random-direction
0.22,0.07395201,random-direction
0.22,0.10555359,random-direction
0.22,0.08730848,random-direction
0.22,0.09194269,random-direction
0.22,0.09423863,random-direction
0.22,0.0605736,random-direction
0.22,0.09318047,random-direction
0.22,0.11306576,random-direction
0.22,0.07151332,random-direction
0.22,0.06861725,random-direction
0.22,0.09217303,random-direction
0.22,0.12785788,random-direction
0.22,0.10803561,random-direction
0.26,0.12222397,random-direction
0.26,0.10145756,random-direction
0.26,0.10065409,random-direction
0.26,0.085228726,random-direction
0.26,0.07281141,random-direction
0.26,0.077377394,random-direction
0.26,0.081465036,random-direction
0.26,0.117965676,random-direction
0.26,0.091147624,random-direction
0.26,0.11223714,random-direction
0.26,0.07625492,random-direction
0.26,0.10072931,random-direction
0.26,0.099574395,random-direction
0.26,0.097837135,random-direction
0.26,0.10456793,random-direction
0.26,0.06851341,random-direction
0.26,0.11748755,random-direction
0.26,0.105824545,random-direction
0.26,0.13499986,random-direction
0.26,0.1091038,random-direction
0.26,0.12393974,random-direction
0.26,0.10865526,random-direction
0.26,0.10743345,random-direction
0.26,0.11041324,random-direction
0.26,0.104297474,random-direction
0.26,0.0775765,random-direction
0.26,0.10689603,random-direction
0.26,0.08050357,random-direction
0.26,0.084719114,random-direction
0.26,0.110115245,random-direction
0.26,0.08495431,random-direction
0.26,0.11250565,random-direction
0.26,0.11373267,random-direction
0.26,0.09735024,random-direction
0.26,0.13164963,random-direction
0.26,0.08244862,random-direction
0.26,0.10227384,random-direction
0.26,0.12852807,random-direction
0.26,0.110472575,random-direction
0.26,0.089503035,random-direction
0.26,0.13871558,random-direction
0.26,0.12752856,random-direction
0.26,0.14326988,random-direction
0.26,0.09952156,random-direction
0.26,0.09113869,random-direction
0.26,0.087109335,random-direction
0.26,0.12415071,random-direction
0.26,0.13122217,random-direction
0.26,0.11820726,random-direction
0.26,0.08248865,random-direction
0.26,0.2565433,random-direction
0.26,0.123237,random-direction
0.26,0.08071103,random-direction
0.26,0.096837685,random-direction
0.26,0.095114104,random-direction
0.26,0.08313565,random-direction
0.26,0.08383923,random-direction
0.26,0.0658054,random-direction
0.26,0.1133855,random-direction
0.26,0.08745534,random-direction
0.26,0.09417947,random-direction
0.26,0.1084594,random-direction
0.26,0.08779461,random-direction
0.26,0.09088326,random-direction
